2 1/2  ,1 3/8  ,LISO   ,MW20           ,9.6,11.5
3 1/8  ,1 1/2  ,LISO   ,2 7/8 HTPAC    ,9.6,19.83
3 1/8  ,1 1/4  ,ESPIRAL,2 7/8 HTPAC    ,9.6,21.65
3 1/8  ,1 1/4  ,LISO   ,2 7/8 HTPAC    ,9.6,21.65
3 1/8  ,1 1/4  ,LISO   ,2 3/8 HT-SL-H90,9.6,21.65
3 1/8  ,1 1/4  ,LISO   ,2 7/8 PAC      ,9.6,21.65
3 1/2  ,1 1/2  ,ESPIRAL,NC26           ,9.1,27
3 1/2  ,1 1/2  ,LISO   ,CTM26          ,9.6,26.39
3 7/8  ,1 3/4  ,LISO   ,2 7/8 AOH      ,9.6,31.54
4 1/8  ,2      ,ESPIRAL,NC31           ,9.6,34.35
4 1/8  ,2      ,LISO   ,NC31           ,9.6,34.35
4 3/4  ,2  9/16,ESPIRAL,WT38           ,9.6,42.21
4 3/4  ,2 3/8  ,ESPIRAL,NC38           ,9.6,44.66
4 3/4  ,2 1/4  ,ESPIRAL,NC38           ,9.6,46.18
4 3/4  ,2 1/4  ,LISO   ,NC38           ,9.6,46.18
4 3/4  ,2 1/4  ,ESPIRAL,XT-M38         ,9.6,46.18
4 7/8  ,2 1/4  ,ESPIRAL,NC38           ,9.6,49.36
4 7/8  ,2 1/4  ,LISO   ,NC38           ,9.6,49.36
4 7/8  ,2 1/4  ,ESPIRAL,XT39           ,9.6,49.36
6 1/2  ,2 13/16,ESPIRAL,NC46           ,9.6,90.61
6 1/2  ,2 13/16,ESPIRAL,NC50           ,9.6,90.61
6 3/4  ,2 13/16,ESPIRAL,NC50           ,9.6,99.35
8      ,2 13/16,ESPIRAL,6 5/8 REG      ,9.6,148.01
8 1/4  ,2 13/16,ESPIRAL,6 5/8 REG      ,9.6,158.73
9 1/2  ,3      ,ESPIRAL,7 5/8 REG      ,9.6,214.41
1 3/4  ,4/5    ,LISO   ,1 1/4 MT       ,9.4,6.41
1 3/4  ,3/4    ,LISO   ,1 1/4 MT       ,9.4,6.67
1 13/16,3/4    ,LISO   ,1 1/4 MT       ,9.4,7.26
2  1/16,1      ,LISO   ,1 1/2 MT       ,9.4,8.7
2 7/8  ,1 1/4  ,LISO   ,2 3/8 HTPAC    ,9.4,18
2 7/8  ,1 1/4  ,ESPIRAL,2 3/8 HTPAC    ,9.4,18
3 1/2  ,1 1/2  ,ESPIRAL,XT27           ,9.4,27
5 1/4  ,2 1/4  ,ESPIRAL,NC40           ,9.4,60
6 1/4  ,2 13/16,ESPIRAL,NC46           ,9.4,83
6 1/2  ,2  1/4 ,ESPIRAL,NC46           ,9.4,99
7 1/4  ,2 13/16,ESPIRAL,NC50           ,9.4,119
7 3/4  ,2 13/16,ESPIRAL,NC56           ,9.4,139
11     ,3      ,ESPIRAL,8 5/8 REG      ,9.4,299
3 1/8  ,1 1/4  ,LISO   ,NC23           ,9.1,22
3 1/2  ,1 1/2  ,ESPIRAL,2 3/8 IF       ,9.1,27
4 1/8  ,2      ,ESPIRAL,2 7/8 IF       ,9.4,34
4 3/4  ,2      ,LISO   ,NC35           ,9.4,47
5      ,2 1/4  ,LISO   ,NC38           ,9.4,54
5      ,2 1/4  ,LISO   ,3 1/2 IF       ,9.4,54
6      ,2 1/4  ,LISO   ,NC44           ,9.4,83
6      ,2 13/16,LISO   ,NC44           ,9.4,76
6 1/4  ,2 1/4  ,LISO   ,NC44           ,9.4,91
6 1/4  ,2 13/16,LISO   ,4 IF           ,9.4,84
6 1/4  ,2 13/16,LISO   ,NC46           ,9.4,84
6 1/2  ,2 1/4  ,LISO   ,NC46           ,9.4,100
6 1/2  ,2 1/4  ,LISO   ,4 IF           ,9.4,100
6 1/2  ,2 13/16,LISO   ,NC46           ,9.4,93
6 1/2  ,2 13/16,LISO   ,4 IF           ,9.4,93
6 3/4  ,2 1/4  ,LISO   ,NC46           ,9.4,109
6 3/4  ,2 1/4  ,LISO   ,4 IF           ,9.4,109
7      ,2 1/4  ,LISO   ,NC50           ,9.4,118
7      ,2 1/4  ,LISO   ,4 1/2 IF       ,9.4,118
7      ,2 13/16,LISO   ,NC50           ,9.4,111
7      ,2 13/16,LISO   ,4 1/2 IF       ,9.4,111
7 1/4  ,2 13/16,LISO   ,4 1/2 IF       ,9.4,120
7 1/4  ,2 13/16,LISO   ,NC50           ,9.4,119
7 3/4  ,2 13/16,LISO   ,NC56           ,9.4,140
8      ,2 13/16,LISO   ,NC56           ,9.4,151
9      ,2 13/16,LISO   ,NC61           ,9.4,196
9 3/4  ,3      ,LISO   ,NC70           ,9.4,230
10     ,3      ,LISO   ,NC70           ,9.4,243
6 3/4,2.25,LISO,N/A,0,9
9 1/2,3,LISO,REG,123,12
